tweet_id,timestamp,text,rating_over_10,retweet_count,favorite_count,dog_name,dog_stage,dog_breed_prediction,prediction_confidence,source,expanded_urls
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,5595,30869,Tilly,none,Chihuahua,0.323581,Twitter for iPhone,https://twitter.com/dog_rates/status/892177421306343426/photo/1
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,3704,23211,Archie,none,Chihuahua,0.716012,Twitter for iPhone,https://twitter.com/dog_rates/status/891815181378084864/photo/1
891327558926688256,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,8333,37262,Franklin,none,basset,0.555712,Twitter for iPhone,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1"
891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,2794,18786,None,none,Chesapeake_Bay_retriever,0.425595,Twitter for iPhone,https://twitter.com/dog_rates/status/891087950875897856/photo/1
890971913173991426,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,1815,10913,Jax,none,Appenzeller,0.34170300000000003,Twitter for iPhone,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1"
890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,16892,60191,None,none,Pomeranian,0.566142,Twitter for iPhone,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1"
890609185150312448,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,3848,25839,Zoey,none,Irish_terrier,0.487574,Twitter for iPhone,https://twitter.com/dog_rates/status/890609185150312448/photo/1
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,6570,29503,Cassie,doggo,Pembroke,0.511319,Twitter for iPhone,https://twitter.com/dog_rates/status/890240255349198849/photo/1
890006608113172480,2017-07-26 00:31:25+00:00,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,6562,28425,Koda,none,Samoyed,0.957979,Twitter for iPhone,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1"
889880896479866881,2017-07-25 16:11:53+00:00,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,4466,25863,Bruno,none,French_bulldog,0.377417,Twitter for iPhone,https://twitter.com/dog_rates/status/889880896479866881/photo/1
